"parentHeight" "childHeight" "parentGender" "childGender"
64.5 59.5 "Father" "Son"
66.5 60.5 "Father" "Son"
63.5 61.5 "Father" "Son"
61.5 62.5 "Father" "Son"
61.5 62.5 "Father" "Son"
62.5 62.5 "Father" "Son"
62.5 62.5 "Father" "Son"
63.5 62.5 "Father" "Son"
63.5 62.5 "Father" "Son"
64.5 62.5 "Father" "Son"
64.5 62.5 "Father" "Son"
64.5 62.5 "Father" "Son"
64.5 62.5 "Father" "Son"
65.5 62.5 "Father" "Son"
65.5 62.5 "Father" "Son"
65.5 62.5 "Father" "Son"
65.5 62.5 "Father" "Son"
65.5 62.5 "Father" "Son"
66.5 62.5 "Father" "Son"
66.5 62.5 "Father" "Son"
66.5 62.5 "Father" "Son"
67.5 62.5 "Father" "Son"
58.5 63.5 "Father" "Son"
60.5 63.5 "Father" "Son"
61.5 63.5 "Father" "Son"
61.5 63.5 "Father" "Son"
61.5 63.5 "Father" "Son"
61.5 63.5 "Father" "Son"
62.5 63.5 "Father" "Son"
62.5 63.5 "Father" "Son"
62.5 63.5 "Father" "Son"
63.5 63.5 "Father" "Son"
63.5 63.5 "Father" "Son"
63.5 63.5 "Father" "Son"
63.5 63.5 "Father" "Son"
64.5 63.5 "Father" "Son"
64.5 63.5 "Father" "Son"
64.5 63.5 "Father" "Son"
64.5 63.5 "Father" "Son"
64.5 63.5 "Father" "Son"
64.5 63.5 "Father" "Son"
64.5 63.5 "Father" "Son"
64.5 63.5 "Father" "Son"
65.5 63.5 "Father" "Son"
65.5 63.5 "Father" "Son"
65.5 63.5 "Father" "Son"
65.5 63.5 "Father" "Son"
65.5 63.5 "Father" "Son"
65.5 63.5 "Father" "Son"
65.5 63.5 "Father" "Son"
65.5 63.5 "Father" "Son"
65.5 63.5 "Father" "Son"
66.5 63.5 "Father" "Son"
66.5 63.5 "Father" "Son"
66.5 63.5 "Father" "Son"
67.5 63.5 "Father" "Son"
68.5 63.5 "Father" "Son"
69.5 63.5 "Father" "Son"
70.5 63.5 "Father" "Son"
58.5 64.5 "Father" "Son"
58.5 64.5 "Father" "Son"
59.5 64.5 "Father" "Son"
60.5 64.5 "Father" "Son"
61.5 64.5 "Father" "Son"
61.5 64.5 "Father" "Son"
62.5 64.5 "Father" "Son"
62.5 64.5 "Father" "Son"
62.5 64.5 "Father" "Son"
63.5 64.5 "Father" "Son"
63.5 64.5 "Father" "Son"
63.5 64.5 "Father" "Son"
63.5 64.5 "Father" "Son"
63.5 64.5 "Father" "Son"
63.5 64.5 "Father" "Son"
63.5 64.5 "Father" "Son"
63.5 64.5 "Father" "Son"
63.5 64.5 "Father" "Son"
63.5 64.5 "Father" "Son"
64.5 64.5 "Father" "Son"
64.5 64.5 "Father" "Son"
64.5 64.5 "Father" "Son"
64.5 64.5 "Father" "Son"
64.5 64.5 "Father" "Son"
64.5 64.5 "Father" "Son"
64.5 64.5 "Father" "Son"
64.5 64.5 "Father" "Son"
64.5 64.5 "Father" "Son"
64.5 64.5 "Father" "Son"
64.5 64.5 "Father" "Son"
64.5 64.5 "Father" "Son"
64.5 64.5 "Father" "Son"
65.5 64.5 "Father" "Son"
65.5 64.5 "Father" "Son"
65.5 64.5 "Father" "Son"
65.5 64.5 "Father" "Son"
65.5 64.5 "Father" "Son"
65.5 64.5 "Father" "Son"
65.5 64.5 "Father" "Son"
65.5 64.5 "Father" "Son"
65.5 64.5 "Father" "Son"
65.5 64.5 "Father" "Son"
65.5 64.5 "Father" "Son"
66.5 64.5 "Father" "Son"
66.5 64.5 "Father" "Son"
66.5 64.5 "Father" "Son"
66.5 64.5 "Father" "Son"
66.5 64.5 "Father" "Son"
66.5 64.5 "Father" "Son"
66.5 64.5 "Father" "Son"
67.5 64.5 "Father" "Son"
67.5 64.5 "Father" "Son"
67.5 64.5 "Father" "Son"
67.5 64.5 "Father" "Son"
67.5 64.5 "Father" "Son"
67.5 64.5 "Father" "Son"
68.5 64.5 "Father" "Son"
68.5 64.5 "Father" "Son"
68.5 64.5 "Father" "Son"
68.5 64.5 "Father" "Son"
69.5 64.5 "Father" "Son"
69.5 64.5 "Father" "Son"
59.5 65.5 "Father" "Son"
60.5 65.5 "Father" "Son"
61.5 65.5 "Father" "Son"
61.5 65.5 "Father" "Son"
62.5 65.5 "Father" "Son"
62.5 65.5 "Father" "Son"
62.5 65.5 "Father" "Son"
62.5 65.5 "Father" "Son"
62.5 65.5 "Father" "Son"
63.5 65.5 "Father" "Son"
63.5 65.5 "Father" "Son"
