Group	FlowerGuess	BirdGuess
Heads	26	20
Heads	45	50
Heads	31	25
Heads	155	105
Heads	40	60
Heads	25	25
Heads	50	50
Heads	25	23
Heads	280	265
Heads	24	25
Heads	25	25
Heads	80	70
Heads	75	75
Heads	70	55
Heads	40	40
Heads	30	30
Heads	25	38
Heads	45	45
Heads	56	48
Heads	50	50
Heads	60	80
Heads	65	45
Heads	45	50
Heads	30	25
Heads	45	55
Heads	60	60
Heads	32	30
Heads	30	30
Heads	25	20
Heads	20	40
Heads	43	38
Heads	40	40
Heads	35	20
Heads	59	39
Heads	25	25
Heads	30	32
Heads	25	27
Heads	19	25
Heads	50	50
Heads	65	60
Tails	30	25
Tails	100	100
Tails	20	20
Tails	48	52
Tails	75	75
Tails	23	20
Tails	33	28
Tails	30	25
Tails	15	10
Tails	35	35
Tails	24	28
Tails	35	40
Tails	50	50
Tails	40	30
Tails	30	25
Tails	40	50
Tails	50	60
Tails	35	34
Tails	50	50
Tails	25	25
Tails	55	50
Tails	30	35
Tails	23	27
Tails	75	75
Tails	50	50
Tails	45	55
Tails	25	25
Tails	37	47
Tails	35	25
Tails	20	20
Tails	25	30
Tails	35	40
Tails	30	40
Tails	40	45
Tails	50	50
Tails	49	52
Tails	25	25
