"ClintonFT" "TrumpFT"
76 1
52 28
1 100
69 0
1 13
1 61
60 5
0 85
3 70
87 5
6 74
10 95
49 39
3 82
1 91
0 51
79 51
79 59
0 86
87 1
94 2
2 13
65 1
68 8
53 2
50 33
0 72
41 1
70 1
85 16
92 18
21 1
1 51
0 31
77 2
93 1
100 2
52 20
7 88
9 70
94 69
94 0
10 65
99 1
100 5
0 13
98 7
3 6
83 1
1 46
98 12
75 4
10 60
99 0
3 92
31 1
1 100
99 3
2 3
1 0
16 0
78 0
10 45
100 0
61 0
54 6
95 0
1 49
0 95
2 71
93 6
78 6
4 95
61 1
1 99
95 1
0 80
0 97
7 60
1 100
56 10
100 2
47 11
59 69
2 31
12 0
50 54
0 88
0 89
60 6
90 0
0 95
75 0
60 2
77 6
5 79
5 75
100 0
0 70
87 2
0 88
100 1
100 0
20 1
76 0
10 11
100 1
100 10
3 75
3 98
95 6
1 95
4 97
71 2
51 85
50 5
55 13
61 6
4 56
3 64
3 91
35 75
29 1
80 1
100 75
0 70
59 87
84 0
46 0
70 80
0 100
31 88
91 11
60 61
10 90
4 10
1 0
3 19
4 62
59 61
100 0
97 2
86 20
4 79
71 10
6 48
0 90
65 41
4 84
40 94
1 95
12 20
0 96
70 65
100 1
0 71
0 12
66 1
1 70
0 20
100 60
85 61
33 0
1 41
0 32
24 41
41 33
0 92
6 90
75 0
0 100
61 0
1 69
0 60
1 84
12 97
100 70
1 66
13 93
0 90
73 0
9 21
75 0
42 1
6 95
0 80
0 2
88 1
70 5
12 68
24 52
3 34
0 71
0 91
1 89
35 0
9 97
15 95
97 94
95 10
61 52
4 58
8 80
85 1
0 97
54 5
4 89
4 98
0 100
63 2
65 60
0 86
89 0
8 22
16 41
4 91
11 44
0 91
50 0
30 60
47 1
100 4
1 69
0 61
1 72
75 0
1 95
80 2
2 56
49 45
0 40
0 36
33 1
98 1
0 41
79 98
1 89
89 0
49 34
3 41
96 4
98 1
55 30
89 11
80 4
0 78
86 2
4 72
0 89
94 0
91 11
0 15
2 22
59 28
95 1
12 30
98 5
3 51
5 36
1 100
73 20
90 50
62 15
36 18
80 36
67 1
5 57
0 30
1 53
100 2
1 100
31 1
71 1
1 99
6 72
0 100
51 94
88 1
91 19
6 100
18 8
100 24
30 31
3 48
41 86
65 55
52 98
70 0
69 54
0 99
2 87
98 5
0 76
52 0
0 100
85 7
52 54
1 73
2 90
20 6
97 0
0 100
71 4
0 17
11 61
1 2
0 91
71 1
64 100
50 0
2 96
100 0
1 70
81 13
83 3
1 54
2 1
75 73
10 89
60 25
94 1
61 65
49 50
93 12
1 63
96 4
9 96
65 62
97 88
1 56
1 86
6 40
97 8
100 51
100 7
0 11
90 1
60 80
44 6
60 0
0 81
1 88
82 1
0 89
64 100
74 69
41 51
21 41
30 61
0 40
85 11
31 49
20 75
69 6
1 51
25 45
0 1
79 0
11 30
55 78
100 0
1 70
0 88
0 71
58 61
90 11
3 96
2 50
0 100
0 5
0 49
71 3
99 1
99 3
25 98
65 75
6 14
67 57
0 95
91 6
58 29
99 0
75 69
1 20
47 94
1 90
1 80
51 8
30 65
2 87
100 1
11 30
100 6
1 99
91 39
100 0
0 70
82 1
1 40
1 90
81 1
2 95
4 31
3 100
60 0
100 4
19 20
5 97
4 31
1 85
0 40
75 14
49 22
1 100
52 10
70 65
76 2
85 1
72 33
0 70
89 0
1 75
60 2
21 6
1 93
63 35
2 94
0 100
1 47
84 1
18 69
23 39
41 30
75 5
0 96
30 67
0 75
